[ 2026-06-26 16:17:47,831 ] 30 root - INFO - API Keys Loaded Successfully.
[ 2026-06-26 16:18:05,161 ] 85 root - INFO - Processing uploaded file...
[ 2026-06-26 16:18:06,701 ] 40 root - INFO - Extracted 68 chunks successfully.
[ 2026-06-26 16:18:06,702 ] 89 root - INFO - Generated 68 chunks.
[ 2026-06-26 16:18:06,775 ] 123 pinecone.client.indexes - INFO - Describing index 'test'
[ 2026-06-26 16:18:07,742 ] 1025 httpx - INFO - HTTP Request: GET https://api.pinecone.io/indexes/test "HTTP/1.1 200 OK"
[ 2026-06-26 16:18:08,282 ] 154 pinecone.index - INFO - Index client created for host https://test-2p7541j.svc.aped-4627-b74a.pinecone.io
[ 2026-06-26 16:18:08,287 ] 95 root - INFO - Generating embeddings...
[ 2026-06-26 16:18:10,593 ] 1025 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-embedding-2-preview:batchEmbedContents "HTTP/1.1 200 OK"
[ 2026-06-26 16:18:12,753 ] 1025 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-embedding-2-preview:batchEmbedContents "HTTP/1.1 200 OK"
[ 2026-06-26 16:18:13,202 ] 113 root - INFO - Uploading vectors to Pinecone...
[ 2026-06-26 16:18:13,203 ] 339 pinecone.index - INFO - Upserting 68 vectors into namespace ''
[ 2026-06-26 16:18:15,716 ] 117 root - INFO - Vectors Uploaded Successfully.
[ 2026-06-26 16:18:29,478 ] 85 root - INFO - Processing uploaded file...
[ 2026-06-26 16:18:30,920 ] 40 root - INFO - Extracted 68 chunks successfully.
[ 2026-06-26 16:18:30,920 ] 89 root - INFO - Generated 68 chunks.
[ 2026-06-26 16:18:31,452 ] 154 pinecone.index - INFO - Index client created for host https://test-2p7541j.svc.aped-4627-b74a.pinecone.io
[ 2026-06-26 16:18:31,452 ] 95 root - INFO - Generating embeddings...
[ 2026-06-26 16:18:34,119 ] 1025 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-embedding-2-preview:batchEmbedContents "HTTP/1.1 200 OK"
[ 2026-06-26 16:18:36,398 ] 1025 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-embedding-2-preview:batchEmbedContents "HTTP/1.1 200 OK"
[ 2026-06-26 16:18:36,705 ] 113 root - INFO - Uploading vectors to Pinecone...
[ 2026-06-26 16:18:36,706 ] 339 pinecone.index - INFO - Upserting 68 vectors into namespace ''
[ 2026-06-26 16:18:39,163 ] 117 root - INFO - Vectors Uploaded Successfully.
[ 2026-06-26 16:18:39,169 ] 128 root - INFO - Question Asked: What are embeddings ?
[ 2026-06-26 16:18:39,881 ] 1025 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-embedding-2-preview:batchEmbedContents "HTTP/1.1 200 OK"
