[ 2026-06-26 16:09:13,751 ] 30 root - INFO - API Keys Loaded Successfully.
[ 2026-06-26 16:09:26,538 ] 85 root - INFO - Processing uploaded file...
[ 2026-06-26 16:09:26,993 ] 40 root - INFO - Extracted 68 chunks successfully.
[ 2026-06-26 16:09:26,993 ] 89 root - INFO - Generated 68 chunks.
[ 2026-06-26 16:09:27,023 ] 123 pinecone.client.indexes - INFO - Describing index 'test'
[ 2026-06-26 16:09:28,143 ] 1025 httpx - INFO - HTTP Request: GET https://api.pinecone.io/indexes/test "HTTP/1.1 200 OK"
[ 2026-06-26 16:09:28,707 ] 154 pinecone.index - INFO - Index client created for host https://test-2p7541j.svc.aped-4627-b74a.pinecone.io
[ 2026-06-26 16:09:28,711 ] 95 root - INFO - Generating embeddings...
[ 2026-06-26 16:09:31,369 ] 1025 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-embedding-2-preview:batchEmbedContents "HTTP/1.1 200 OK"
[ 2026-06-26 16:09:33,602 ] 1025 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-embedding-2-preview:batchEmbedContents "HTTP/1.1 200 OK"
[ 2026-06-26 16:09:33,987 ] 113 root - INFO - Uploading vectors to Pinecone...
[ 2026-06-26 16:09:33,987 ] 339 pinecone.index - INFO - Upserting 68 vectors into namespace ''
[ 2026-06-26 16:09:36,459 ] 117 root - INFO - Vectors Uploaded Successfully.
[ 2026-06-26 16:09:49,295 ] 85 root - INFO - Processing uploaded file...
[ 2026-06-26 16:09:50,812 ] 40 root - INFO - Extracted 68 chunks successfully.
[ 2026-06-26 16:09:50,812 ] 89 root - INFO - Generated 68 chunks.
[ 2026-06-26 16:09:51,355 ] 154 pinecone.index - INFO - Index client created for host https://test-2p7541j.svc.aped-4627-b74a.pinecone.io
[ 2026-06-26 16:09:51,355 ] 95 root - INFO - Generating embeddings...
[ 2026-06-26 16:09:52,217 ] 1025 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-embedding-2-preview:batchEmbedContents "HTTP/1.1 429 Too Many Requests"
[ 2026-06-26 16:11:24,886 ] 85 root - INFO - Processing uploaded file...
[ 2026-06-26 16:11:26,524 ] 40 root - INFO - Extracted 68 chunks successfully.
[ 2026-06-26 16:11:26,524 ] 89 root - INFO - Generated 68 chunks.
[ 2026-06-26 16:11:27,075 ] 154 pinecone.index - INFO - Index client created for host https://test-2p7541j.svc.aped-4627-b74a.pinecone.io
[ 2026-06-26 16:11:27,075 ] 95 root - INFO - Generating embeddings...
[ 2026-06-26 16:11:29,270 ] 1025 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-embedding-2-preview:batchEmbedContents "HTTP/1.1 200 OK"
[ 2026-06-26 16:11:32,054 ] 1025 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-embedding-2-preview:batchEmbedContents "HTTP/1.1 200 OK"
[ 2026-06-26 16:11:32,441 ] 113 root - INFO - Uploading vectors to Pinecone...
[ 2026-06-26 16:11:32,441 ] 339 pinecone.index - INFO - Upserting 68 vectors into namespace ''
[ 2026-06-26 16:11:36,043 ] 117 root - INFO - Vectors Uploaded Successfully.
[ 2026-06-26 16:12:23,782 ] 85 root - INFO - Processing uploaded file...
[ 2026-06-26 16:12:25,329 ] 40 root - INFO - Extracted 68 chunks successfully.
[ 2026-06-26 16:12:25,329 ] 89 root - INFO - Generated 68 chunks.
